Customer ID,full_name,Age,Gender,City,Account_Type,Account_Balance,Date_Of_Account_Opening,Last_Transaction_Date,Transaction_Amount,Loan_Status,Credit_Limit,Credit_Card_Balance,Last_Credit_Card_Payment_Date,Rewards_Points
1,Joshua_Hall,45,Male,Fort Worth,Current,1313.38,2006-05-26,2023-04-23,1457.61,Rejected,1737.88,4524.32,2023-03-20,8142
2,Mark_Taylor,47,Female,Louisville,Current,5988.46,2006-03-02,2023-01-27,1660.99,Approved,1799.36,856.7,2023-06-16,4306
3,Joseph_Flores,25,Female,Philadelphia,Current,8277.88,2015-07-19,2023-01-01,839.91,Closed,6112.96,3242.36,2023-03-20,4842
4,Kevin_Lee,52,Other,Oklahoma City,Savings,7487.21,2008-01-30,2023-08-02,4908.89,Approved,2069.41,4329.17,2023-10-15,9463
5,Linda_Johnson,68,Other,Phoenix,Savings,6993.55,2021-05-25,2023-03-27,589.07,Approved,2765.3,25.72,2023-07-27,2209
6,Charles_Torres,52,Male,El Paso,Savings,9295.64,2015-12-21,2023-06-04,4914.67,Closed,8029.18,1331.7,2023-11-16,478
7,Joshua_Garcia,43,Male,Dallas,Current,4005.72,2022-07-07,2023-03-21,3534.9,Approved,2996.82,1441.65,2023-10-09,5745
8,Christopher_Baker,47,Male,Memphis,Savings,1458.45,2022-12-14,2023-03-01,454.87,Approved,4470.78,3450.21,2023-07-18,5559
9,Daniel_Moore,52,Male,Indianapolis,Current,1109.3,2012-04-29,2023-11-05,768.56,Rejected,4349.57,3227.18,2023-09-25,4432
10,William_Robinson,55,Other,Washington,Current,9554.62,2021-12-20,2023-02-05,1641.59,Closed,4961.44,2765.38,2023-01-07,8226
11,William_Perez,28,Male,San Diego,Savings,5930.75,2015-08-12,2023-10-18,1309.13,Rejected,4782.39,4564.25,2023-03-03,4624
12,Nancy_Allen,37,Female,Oklahoma City,Current,8126.85,2005-09-13,2023-10-16,4865.91,Approved,5697.31,4935.07,2023-12-28,3488
13,Margaret_Robinson,63,Female,Columbus,Savings,5402.04,2010-11-13,2023-11-21,3070.58,Approved,5776.68,339.59,2023-01-13,2102
14,Michelle_Taylor,48,Female,Colorado Springs,Savings,4045.09,2014-08-14,2023-12-29,381.21,Approved,3018.46,4357.95,2023-09-29,4833
15,Nancy_Nelson,51,Other,Atlanta,Savings,2082.67,2015-09-16,2023-06-24,2631.77,Closed,2345.93,1066.61,2023-05-23,4769
16,Michael_Young,29,Male,Fresno,Savings,8578.44,2016-10-02,2023-12-20,4486.73,Approved,2673.1,770.74,2023-01-03,7000
17,Lisa_Adams,65,Female,Austin,Current,728.8,2006-07-07,2023-12-18,2086.75,Rejected,2838.82,3905.1,2023-10-19,2437
18,Mary_Wilson,45,Female,Omaha,Savings,9012.31,2019-08-12,2023-03-30,3333.99,Closed,8388.99,3165.21,2023-11-12,5109
19,Nancy_Martinez,20,Other,Tucson,Current,2129.63,2005-08-18,2023-02-28,3868.23,Rejected,9371.27,299.03,2023-09-10,8681
20,Amanda_Campbell,65,Other,Milwaukee,Savings,194.36,2017-04-24,2023-03-02,933.29,Closed,7650.68,1076.46,2023-01-21,3441
21,Ashley_Scott,59,Other,Fresno,Savings,1128.58,2016-10-29,2023-08-30,4278.95,Closed,1374.25,3559.98,2023-08-31,1213
22,Donna_King,69,Female,San Antonio,Current,8846.74,2005-01-01,2023-10-10,2249.62,Rejected,6394.78,53.5,2023-12-05,4035
23,Mary_Rodriguez,22,Other,El Paso,Savings,829.7,2011-09-02,2023-08-13,292.88,Closed,8026.74,1424.94,2023-03-17,1533
24,Charles_Adams,30,Female,San Antonio,Savings,3616.88,2014-10-07,2023-08-10,4395.73,Rejected,5693.7,2256.35,2023-06-03,6245
25,Steven_Ramirez,29,Male,Boston,Savings,2578.13,2004-06-04,2023-03-31,2826.12,Rejected,1720.05,4563.01,2023-11-18,6588
26,Barbara_Hernandez,18,Female,Chicago,Current,464.86,2022-10-01,2023-01-15,999.63,Approved,5608.25,4251.87,2023-11-08,5749
27,Lisa_Wilson,69,Male,Kansas City,Savings,5361.52,2006-07-27,2023-12-31,1594.08,Approved,6736.21,1084.56,2023-07-04,1470
28,Amanda_Hill,60,Female,Oklahoma City,Savings,9983.5,2018-08-10,2023-07-04,2851.17,Approved,6126.15,1530.42,2023-07-31,2965
29,Matthew_Campbell,36,Male,Fresno,Savings,8544.77,2000-11-12,2023-07-23,1877.13,Rejected,7494.66,2591.92,2023-06-06,2963
30,Ronald_Jackson,46,Female,Baltimore,Current,1772.04,2015-02-12,2023-02-10,1174.58,Closed,3404.77,2181.1,2023-12-14,8656
31,Anthony_Anderson,64,Female,San Francisco,Current,8854.73,2004-09-15,2023-06-20,2401.76,Approved,7278.03,3846.45,2023-06-11,3298
32,Carol_Ramirez,67,Female,Jacksonville,Current,4572.76,2010-05-04,2023-09-25,933.38,Closed,3997.31,4756.24,2023-02-27,6208
33,Betty_White,65,Female,Sacramento,Current,2805.18,2003-07-30,2023-07-15,1234.44,Closed,7417.07,3107.77,2023-10-22,2387
34,Jessica_Davis,56,Other,Oklahoma City,Savings,6439.03,2005-08-23,2023-09-07,4135.4,Rejected,5395.87,560.7,2023-05-11,4561
35,Joseph_Nelson,59,Female,Seattle,Current,2245.28,2002-01-05,2023-07-14,1150.42,Closed,8046.16,2208.16,2023-09-04,2971
36,Timothy_Rodriguez,42,Female,Portland,Current,8808.55,2009-07-08,2023-08-18,3479.88,Rejected,5522.52,2735.81,2023-10-18,6543
37,Amanda_Campbell,33,Other,Mesa,Current,6279.42,2008-07-28,2023-04-06,1259.84,Rejected,3589.1,4775.86,2023-03-13,443
38,Michael_Allen,34,Other,El Paso,Current,1446.62,2002-05-16,2023-08-06,1069.87,Rejected,9908.09,1725.59,2023-12-10,440
39,Paul_Allen,45,Other,Albuquerque,Savings,5749.42,2008-07-20,2023-01-04,1263.27,Rejected,3179.12,3347.7,2023-01-30,9290
40,John_Jackson,56,Other,Jacksonville,Savings,5152.67,2020-01-13,2023-01-05,2346.81,Rejected,4623.6,56.38,2023-03-21,526
